2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 18:01:45,710 - INFO - Episode 1013, Total Reward: -16.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 18:02:12,824 - INFO - Episode 1014, Total Reward: -19.0, Average Loss: 0.0022, Epsilon: 0.0100
2025-05-17 18:02:38,804 - INFO - Episode 1015, Total Reward: -21.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 18:03:06,235 - INFO - Episode 1016, Total Reward: -18.0, Average Loss: 0.0022, Epsilon: 0.0100
2025-05-17 18:03:28,142 - INFO - Episode 1017, Total Reward: -20.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 18:03:54,719 - INFO - Episode 1018, Total Reward: -19.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 18:04:27,369 - INFO - Episode 1019, Total Reward: -18.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 18:04:51,118 - INFO - Episode 1020, Total Reward: -17.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 18:05:27,027 - INFO - Episode 1021, Total Reward: -16.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:05:52,711 - INFO - Episode 1022, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:06:19,792 - INFO - Episode 1023, Total Reward: -17.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:06:45,459 - INFO - Episode 1024, Total Reward: -20.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 18:07:19,629 - INFO - Episode 1025, Total Reward: -17.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:07:50,442 - INFO - Episode 1026, Total Reward: -18.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 18:08:17,971 - INFO - Episode 1027, Total Reward: -21.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:08:44,132 - INFO - Episode 1028, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:09:03,893 - INFO - Episode 1029, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:09:31,723 - INFO - Episode 1030, Total Reward: -18.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:10:07,878 - INFO - Episode 1031, Total Reward: -16.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:10:36,597 - INFO - Episode 1032, Total Reward: -17.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 18:11:10,892 - INFO - Episode 1033, Total Reward: -16.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:11:35,086 - INFO - Episode 1034, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:12:06,870 - INFO - Episode 1035, Total Reward: -18.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:12:37,732 - INFO - Episode 1036, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:13:09,662 - INFO - Episode 1037, Total Reward: -15.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:13:37,490 - INFO - Episode 1038, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:14:03,343 - INFO - Episode 1039, Total Reward: -18.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 18:14:36,538 - INFO - Episode 1040, Total Reward: -14.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 18:15:09,759 - INFO - Episode 1041, Total Reward: -17.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 18:15:31,686 - INFO - Episode 1042, Total Reward: -18.0, Average Loss: 0.0016, Epsilon: 0.0100
2025-05-17 18:16:04,961 - INFO - Episode 1043, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
